CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,4,-,3,-,"2,820.00",106.20,780,"2,640.65","2,868.70",65,"21,400.00","1,755",0.80,0.85,455,-0.15,0.75,42.32,"46,894","5,835","44,925",
,32,-1,16,-,"2,759.20",112.60,65,"2,553.00","2,886.75",780,"21,450.00","5,135",0.75,0.85,"1,625",-0.05,0.90,42.34,"6,870",724,"1,722",
,36,-1,2,-,"2,673.40",144.70,780,"2,665.85","2,768.95",780,"21,500.00","61,685",0.80,0.85,"3,315",-0.10,0.85,41.38,"85,224","1,102","31,422",
,31,-7,19,-,"2,660.90",211.85,780,"2,611.50","2,797.85",780,"21,550.00",520,0.80,1.00,"10,920",-0.10,0.85,40.65,"4,879",603,"1,482",
,15,-11,11,-,"2,610.35",150.00,780,"2,557.05","2,737.80",780,"21,600.00","1,040",0.85,0.95,"2,795",-0.10,0.95,40.36,"29,596","1,391","5,526",
,46,-1,19,-,"2,565.25",157.60,780,"2,515.80","2,639.40",780,"21,650.00",650,0.95,1.05,"3,055",-0.05,0.95,39.63,"4,521",605,"1,296",
,61,-6,16,-,"2,509.05",256.45,780,"2,459.45","2,635.65",780,"21,700.00",130,0.95,1.00,260,-,1.00,39.10,"42,257","2,837","5,187",
,30,-12,14,-,"2,410.00",173.40,780,"2,412.45","2,535.35",780,"21,750.00","1,950",0.90,1.05,"8,905",-0.05,1.05,38.55,"2,857",391,992,
,6,-,-,-,"2,139.80",-,780,"2,297.45","2,494.25",780,"21,800.00",65,1.00,1.05,195,-,1.05,37.81,"63,202","2,662","13,563",
,7,-6,6,-,"2,354.25",199.00,780,"2,286.00","2,517.10",780,"21,850.00",65,1.10,1.20,"2,080",-0.20,1.05,37.07,"8,576",803,"1,653",
,16,-,-,52.41,"2,112.05",-,780,"2,198.75","2,431.65",780,"21,900.00","2,080",1.05,1.15,65,-0.15,1.15,36.68,"23,336","2,149","5,124",
,50,-,5,-,"2,231.85",196.30,130,"2,259.95","2,415.85",780,"21,950.00","2,275",1.15,1.30,"3,250",-0.15,1.20,36.10,"14,101",569,"1,751",
,50,-1,3,-,"2,219.30",293.60,780,"2,130.15","2,268.20",975,"22,000.00",390,1.25,1.35,"52,065",-0.15,1.30,35.66,"1,89,567","7,740","65,388",
,25,-17,17,-,"2,159.00",274.20,780,"2,112.15","2,295.05",780,"22,050.00","3,185",1.25,1.30,65,-0.15,1.35,35.05,"21,583",472,"3,066",
,52,-,4,-,"2,090.90",231.25,780,"2,064.80","2,181.75",780,"22,100.00","2,340",1.10,1.35,"1,170",-0.40,1.15,33.71,"43,806","3,754","7,998",
,25,-7,21,-,"2,058.95",198.05,780,"2,010.50","2,116.95",780,"22,150.00","1,755",1.25,1.40,"1,755",-0.35,1.35,33.54,"26,880",442,"2,092",
,29,-2,12,-,"2,011.90",229.30,390,"1,944.45","2,081.00",780,"22,200.00","9,425",1.35,1.40,"41,340",-0.40,1.35,32.79,"1,02,632","6,194","20,160",
,8,5,11,-,"1,955.90",207.60,780,"1,857.15","2,050.80",780,"22,250.00","3,835",1.30,1.55,"6,500",-0.45,1.40,32.17,"25,041",136,"2,824",
,15,-4,6,47.99,"1,955.10",173.00,780,"1,837.35","1,972.45",780,"22,300.00","1,105",1.30,1.45,195,-0.45,1.45,31.54,"1,13,900","10,157","20,565",
,32,-14,14,-,"1,861.45",176.45,780,"1,813.50","2,011.85",780,"22,350.00",195,1.45,1.55,65,-0.50,1.50,30.90,"26,184",-98,"2,896",
,32,-8,12,-,"1,811.50",146.75,780,"1,778.25","1,876.85",780,"22,400.00","13,780",1.50,1.60,65,-0.65,1.50,30.14,"1,08,673",919,"12,982",
,18,-,1,-,"1,723.45",188.85,780,"1,703.30","1,842.25",780,"22,450.00","1,755",1.35,1.60,"2,080",-0.75,1.60,29.60,"40,753","2,972","5,141",
,182,-2,29,-,"1,717.35",267.60,845,"1,663.60","1,748.20",780,"22,500.00",520,1.55,1.65,520,-0.95,1.50,28.61,"5,50,357","13,919","1,08,674",
,34,-7,13,-,"1,609.05",179.30,780,"1,615.05","1,714.25",780,"22,550.00","1,105",1.55,1.75,"1,885",-1.05,1.50,27.85,"78,551","2,705","9,829",
,37,-1,3,-,"1,606.25",122.30,780,"1,562.40","1,668.55",390,"22,600.00","1,950",1.60,1.70,65,-1.05,1.65,27.40,"2,04,077",131,"31,813",
,33,-,-,51.33,"1,428.85",-,780,"1,506.15","1,619.90",780,"22,650.00","1,755",1.60,1.80,"1,430",-1.00,1.85,27.00,"75,440",966,"7,232",
,36,7,18,-,"1,509.95",278.45,780,"1,469.65","1,573.05",780,"22,700.00",585,1.75,1.85,"1,560",-1.20,1.75,26.04,"2,67,087","19,090","46,616",
,45,-,1,-,"1,424.35",196.20,780,"1,413.20","1,519.10",390,"22,750.00","1,755",1.65,2.05,65,-1.30,1.85,25.44,"75,937","1,264","10,081",
,96,9,9,-,"1,407.00",162.00,780,"1,364.35","1,457.65",780,"22,800.00","5,590",2.00,2.10,65,-1.35,2.10,25.06,"4,48,162","19,176","59,723",
,67,-8,25,-,"1,338.15",232.25,65,"1,313.45","1,420.45",390,"22,850.00",325,2.20,2.25,"2,665",-1.65,2.25,24.49,"85,113","2,488","9,153",
