CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,24,1,10,-,"1,305.40",239.20,780,"1,263.60","1,370.45",780,"22,900.00",195,2.25,2.35,325,-1.90,2.25,23.69,"3,24,879","11,301","34,578",
,91,-9,12,-,"1,252.55",245.00,780,"1,247.80","1,320.50",780,"22,950.00",910,2.30,2.45,65,-2.25,2.30,22.96,"1,11,977",348,"9,859",
,"1,495",-54,655,-,"1,215.85",251.35,260,"1,213.20","1,220.35",65,"23,000.00","3,640",2.40,2.45,"15,015",-2.65,2.45,22.34,"10,06,753","61,076","1,88,373",
,54,-1,8,-,"1,140.25",255.60,65,"1,163.00","1,220.75",780,"23,050.00","1,495",2.55,2.65,"1,755",-3.10,2.50,21.59,"1,38,654","-1,268","12,463",
,130,30,172,-,"1,116.60",258.90,65,"1,111.50","1,122.95",65,"23,100.00",325,2.75,2.80,"1,560",-3.35,2.70,21.01,"4,25,825","11,449","42,054",
,47,24,29,-,"1,030.65",236.00,780,"1,017.15","1,121.05",780,"23,150.00",455,2.85,2.95,390,-3.90,2.90,20.39,"2,03,593","1,002","13,673",
,588,-120,613,-,"1,017.80",221.75,65,"1,014.25","1,021.20",130,"23,200.00",520,3.10,3.20,"1,690",-4.70,3.05,19.70,"5,91,520","47,715","85,217",
,273,30,93,-,967.30,234.05,65,963.95,972.25,65,"23,250.00","1,755",3.20,3.40,"1,755",-5.85,3.20,19.00,"2,80,580","-5,888","23,318",
,"1,815",-1,132,-,917.55,251.45,195,914.70,920.55,325,"23,300.00",780,3.45,3.55,260,-6.70,3.55,18.45,"5,56,909","38,659","84,712",
,79,-4,116,-,868.05,235.35,65,865.30,870.80,130,"23,350.00","1,755",3.75,3.85,65,-8.30,3.90,17.85,"2,81,821",-883,"18,605",
,675,18,475,-,818.55,248.40,65,814.55,823.45,195,"23,400.00","1,820",4.20,4.25,130,-10.25,4.20,17.18,"5,82,934","-3,279","58,686",
,177,21,229,-,769.05,245.65,65,765.60,771.55,325,"23,450.00","1,430",4.60,4.70,390,-12.65,4.60,16.55,"3,73,000","2,928","22,712",
,"3,960",-371,"6,685",-,723.60,239.15,520,718.00,722.20,325,"23,500.00",975,5.20,5.30,715,-15.85,5.25,16.02,"10,12,131","26,855","1,53,169",
,316,-103,678,-,670.40,235.85,65,667.25,673.00,325,"23,550.00","1,300",5.80,5.95,325,-19.45,5.90,15.42,"3,77,570","-1,553","32,154",
,"1,683",-333,"3,434",-,621.80,230.35,65,619.35,623.30,390,"23,600.00",520,6.70,6.85,520,-24.20,6.75,14.86,"8,33,726","-25,629","1,05,077",
,552,-214,"1,939",-,573.25,220.60,"1,690",571.75,574.85,325,"23,650.00","1,755",7.75,7.90,390,-30.80,7.90,14.34,"4,11,147","12,436","38,084",
,"4,041",-608,"12,482",-,522.75,210.50,195,522.75,525.65,325,"23,700.00","1,755",8.95,9.25,65,-38.85,9.15,13.77,"8,21,102","33,298","1,09,100",
,781,-528,"7,028",-,476.30,202.70,"1,755",475.75,477.60,325,"23,750.00",845,10.90,11.00,65,-48.65,11.05,13.31,"5,53,079","27,098","54,142",
,"8,764","-5,896","61,758",-,429.25,193.45,780,426.45,429.90,715,"23,800.00",65,13.40,13.55,780,-60.25,13.55,12.88,"15,28,900","35,681","1,35,685",
,"4,861","-3,489","25,665",-,381.50,179.45,520,381.10,382.95,"1,365","23,850.00",520,16.15,16.35,715,-73.90,16.35,12.37,"7,54,811","18,612","50,694",
,"13,729","-15,366","1,61,569",7.49,336.00,166.00,260,333.25,336.30,325,"23,900.00",520,20.05,20.25,780,-89.35,19.90,11.87,"14,95,038","31,612","1,00,653",
,"5,460","-15,954","1,31,530",8.63,293.00,150.35,130,289.55,291.90,260,"23,950.00",520,24.85,25.10,"1,495",-106.45,25.10,11.48,"11,28,815","23,893","57,665",
,"50,180","-71,080","10,38,532",8.16,246.40,126.30,260,245.40,247.70,325,"24,000.00",130,31.60,31.90,585,-121.45,31.90,11.12,"28,72,110","68,949","1,61,957",
,"14,334","-30,831","6,38,234",8.59,207.30,108.50,260,205.65,207.20,780,"24,050.00",715,40.70,41.00,"1,755",-137.85,40.90,10.81,"15,90,100","24,961","51,761",
,"43,051","-44,813","24,44,672",8.42,167.70,88.55,520,167.70,168.65,780,"24,100.00",195,52.55,52.75,520,-158.80,52.40,10.51,"36,71,401","81,979","1,22,920",
,"68,897","33,433","34,62,333",8.64,135.15,71.85,715,134.15,135.00,715,"24,150.00","5,460",67.70,68.15,520,-173.80,67.75,10.32,"45,39,113","1,10,035","1,21,695",
,"1,44,699","6,689","75,67,286",8.54,104.00,54.55,715,103.55,104.25,650,"24,200.00",130,87.65,88.05,520,-194.20,88.05,10.28,"63,79,639","1,15,617","1,58,389",
,"86,704","25,357","37,65,898",8.55,78.40,39.25,520,78.25,78.60,65,"24,250.00",780,111.30,112.05,715,-208.30,111.15,10.15,"19,94,014","36,076","53,552",
,"1,44,630","11,664","38,22,136",8.65,58.30,27.95,"1,625",58.00,58.35,845,"24,300.00","1,430",140.60,141.10,65,-221.75,141.10,10.32,"13,79,254","8,857","37,771",
,"46,474","-6,901","18,44,992",8.65,41.50,17.55,"1,625",41.50,41.70,"1,300","24,350.00",715,174.10,174.80,325,-226.40,174.20,10.46,"3,16,744","1,789","7,175",
,"99,528","-2,203","24,37,591",8.74,29.20,10.85,"2,925",29.00,29.20,"1,300","24,400.00","1,040",211.35,212.30,325,-237.60,214.25,11.04,"3,35,110",625,"17,977",
,"52,447","-1,431","15,19,355",8.84,20.15,5.60,"2,535",20.00,20.15,780,"24,450.00",260,252.20,253.90,325,-241.40,253.30,11.22,"51,744",-198,"4,465",
,"2,16,461","6,715","30,50,915",8.96,13.70,2.45,"2,210",13.55,13.70,"1,365","24,500.00",260,296.40,298.00,390,-253.50,296.75,11.72,"1,55,331","-1,170","52,707",
,"50,082","14,741","9,80,441",9.09,9.20,0.30,"1,625",9.20,9.35,520,"24,550.00",780,340.55,343.10,325,-245.85,342.40,12.37,"10,930",-91,"1,129",
,"1,20,077","29,718","13,87,306",9.34,6.45,-0.45,"7,865",6.45,6.50,"1,235","24,600.00",520,387.10,390.40,325,-252.20,389.80,13.18,"21,885",-827,"6,599",
,"50,569","14,435","5,60,796",9.63,4.60,-1.05,"2,795",4.40,4.50,195,"24,650.00",65,434.10,438.45,325,-249.40,437.20,13.89,"3,369",-462,942,
,"1,29,877","13,240","10,35,498",9.97,3.40,-1.15,390,3.30,3.40,"1,560","24,700.00",260,483.70,486.90,325,-247.55,487.70,15.15,"7,408",-426,"2,465",
,"28,490","1,596","4,11,819",10.39,2.65,-1.30,"1,625",2.65,2.80,"1,690","24,750.00",65,532.95,536.80,325,-246.80,536.75,16.09,"1,122",-161,383,
,"88,640",-92,"11,51,260",10.93,2.25,-1.00,650,2.25,2.30,"1,755","24,800.00",520,580.75,585.20,520,-249.90,586.00,17.04,"2,882",-306,"1,989",
,"18,944","-2,295","5,68,158",11.52,2.00,-0.95,"1,365",1.90,2.00,715,"24,850.00",65,632.10,639.55,65,-254.00,636.05,18.14,235,-69,432,
,"48,676",-683,"7,22,950",12.01,1.70,-0.95,390,1.70,1.75,520,"24,900.00","1,625",682.00,689.05,130,-242.15,686.80,19.39,474,-131,589,
,"18,311","-2,578","2,19,100",12.72,1.65,-0.75,"1,430",1.60,1.70,390,"24,950.00",65,729.60,739.75,65,-244.85,736.75,20.45,120,-17,381,
,"1,20,855","-12,151","10,10,370",13.35,1.55,-0.70,"2,990",1.40,1.55,"27,430","25,000.00",130,781.75,786.40,65,-255.10,782.00,20.22,"3,762",299,"6,132",
,"19,497",-427,"1,47,173",13.90,1.40,-0.60,"1,755",1.20,1.30,"1,820","25,050.00",65,820.00,838.70,65,-235.65,835.35,22.17,61,-30,280,
,"43,083","-6,142","2,97,141",14.26,1.15,-0.70,"3,185",1.10,1.15,"2,210","25,100.00",65,879.15,905.45,780,-244.10,885.35,23.19,79,-20,292,
,"10,169",-812,"95,071",14.80,1.05,-0.65,"8,970",1.00,1.05,"1,300","25,150.00",390,888.45,981.35,780,-261.00,933.60,23.69,35,-23,68,
,"68,930","-11,223","3,15,386",15.21,0.90,-0.70,"1,60,940",0.85,0.90,"48,425","25,200.00",65,979.85,"1,003.40",910,-185.20,984.80,25.04,96,-41,761,
,"14,389","-1,525","71,815",15.67,0.80,-0.65,"42,315",0.80,0.85,"96,265","25,250.00",780,985.65,"1,083.50",780,-132.55,"1,045.00",28.78,7,1,12,
,"46,774","-9,173","2,66,461",16.22,0.75,-0.55,"9,77,210",0.75,0.80,"4,85,160","25,300.00",65,"1,064.50","1,106.50",780,-250.45,"1,080.80",25.69,85,-37,116,
,"7,624",-389,"34,673",17.00,0.80,-0.45,"17,550",0.75,0.80,"67,600","25,350.00",780,"1,017.25","1,190.70",780,-205.60,"1,143.05",30.35,16,-9,29,
,"42,240",-556,"1,60,262",17.53,0.75,-0.35,"5,79,215",0.70,0.75,"5,69,595","25,400.00",65,"1,178.95","1,203.65",845,-250.20,"1,180.55",27.48,50,-15,139,
,"11,154","2,681","41,383",18.04,0.70,-0.35,"3,02,835",0.65,0.70,"77,220","25,450.00",195,"1,226.50","1,331.20","1,690",-144.60,"1,241.75",32.00,14,-6,37,
,"91,074","-42,636","5,05,190",18.82,0.75,-0.30,"4,92,440",0.70,0.75,"54,665","25,500.00",195,"1,276.70","1,286.50",260,-236.65,"1,286.05",31.26,337,-258,"2,091",
,"4,908","-2,498","18,397",19.32,0.70,-0.20,"38,415",0.65,0.70,"9,620","25,550.00",780,"1,276.90","1,380.00",780,-130.35,"1,339.05",33.16,11,-11,36,
,"22,725","-10,918","96,305",19.64,0.60,-0.25,"3,72,060",0.60,0.65,"7,930","25,600.00",780,"1,268.15","1,436.80",65,-199.80,"1,390.80",34.66,16,11,24,
,"5,574","-2,393","21,482",20.26,0.60,-0.20,"3,835",0.60,0.65,"51,220","25,650.00",780,"1,384.15","1,494.20",780,-,"1,596.45",-,-,-,22,
,"19,220","-6,395","61,142",21.05,0.65,-0.10,650,0.60,0.65,"13,585","25,700.00",780,"1,439.05","1,546.75",780,-,"1,618.50",-,-,-,12,
,"3,693","-2,268","15,714",21.50,0.60,-0.15,"44,850",0.55,0.65,"1,235","25,750.00",780,"1,422.60","1,631.85",780,-142.60,"1,540.60",37.47,3,-3,27,
,"9,743","-7,092","37,761",22.11,0.60,-0.15,"34,385",0.55,0.60,"13,585","25,800.00",65,"1,467.20","1,626.85",780,-177.50,"1,582.30",35.45,19,-3,29,
,"2,073","-1,310","9,710",22.52,0.55,-0.20,"10,010",0.55,0.60,65,"25,850.00",780,"1,573.05","1,686.05",780,-138.35,"1,639.35",38.93,1,-1,47,
,"10,862",-61,"19,767",22.91,0.50,-0.20,"32,565",0.50,0.55,"88,985","25,900.00",780,"1,586.10","1,767.60",780,-,"1,434.10",-,-,-,6,
,"1,713",-564,"2,242",23.73,0.55,-0.15,"5,850",0.50,0.55,260,"25,950.00",780,"1,601.90","1,841.50",780,-,"1,991.00",48.17,-,-,123,
,"26,688","-12,648","1,19,635",24.33,0.55,-0.15,"2,32,765",0.50,0.55,"72,670","26,000.00",65,"1,776.90","1,786.50",65,-255.75,"1,783.20",39.38,75,-3,"1,311",
,"1,344",-55,"3,420",24.69,0.50,-0.20,"10,335",0.45,0.50,"3,445","26,050.00",780,"1,790.60","1,890.50",780,-227.60,"1,840.80",43.12,2,-,91,
,"5,311","2,651","13,398",25.03,0.45,-0.20,"2,22,170",0.40,0.45,"1,48,655","26,100.00",780,"1,750.15","2,010.25",780,-174.25,"1,889.10",43.43,19,-11,16,
,"1,122",220,"8,200",25.33,0.40,-0.25,"1,62,370",0.40,0.45,"13,715","26,150.00",780,"1,791.40","2,045.15",780,-154.85,"1,938.95",44.27,17,-15,10,
,"3,388",90,"9,510",25.91,0.40,-0.20,"31,460",0.40,0.45,"42,120","26,200.00",780,"1,851.30","2,105.50",780,-,-,-,-,-,-,
,"2,750",491,"6,649",26.48,0.40,-0.20,"46,410",0.40,0.45,"66,170","26,250.00",780,"1,900.95","2,150.85",780,-,-,-,-,-,-,
,"22,480","3,555","37,769",27.05,0.40,-0.15,"15,87,820",0.35,0.40,"3,31,240","26,300.00",65,"1,938.85","2,203.35","1,690",-,"2,229.25",-,-,-,8,
