CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,40,-1,2,-,"1,131.70",64.90,65,"1,083.80","1,136.65",65,"23,150.00","1,170",1.40,1.55,325,-1.10,1.60,19.76,"1,65,724",410,"13,996",
,758,-35,230,-,"1,081.85",88.35,65,"1,078.55","1,085.65",65,"23,200.00",260,1.65,1.70,325,-1.15,1.65,19.06,"5,68,349","5,918","77,606",
,109,1,37,-,"1,031.95",89.95,65,"1,026.20","1,037.10",65,"23,250.00","1,365",1.70,1.75,65,-1.20,1.75,18.42,"2,48,595","-7,702","21,385",
,831,-215,774,-,985.90,91.70,"1,625",980.00,985.70,65,"23,300.00","1,755",1.75,1.90,"2,340",-1.50,1.70,17.57,"6,33,202","8,623","86,779",
,484,8,229,-,936.65,97.25,65,931.35,937.80,130,"23,350.00","1,755",1.90,2.20,"1,755",-1.60,1.85,16.97,"2,22,605","3,975","24,964",
,"1,732",-266,"1,226",-,886.70,92.65,"1,625",881.00,886.55,130,"23,400.00",975,2.10,2.30,455,-1.80,2.10,16.46,"7,56,685","-33,466","61,532",
,359,20,516,-,836.95,94.70,65,828.55,836.25,260,"23,450.00",780,2.40,2.55,260,-1.85,2.55,16.10,"3,71,688","-2,723","20,834",
,"4,761",-776,"4,764",-,786.45,92.50,65,781.05,785.60,260,"23,500.00",65,2.75,2.85,325,-2.00,2.90,15.56,"10,31,520","14,202","1,43,714",
,386,-13,233,-,735.75,92.40,65,730.75,735.90,65,"23,550.00","1,755",2.90,2.95,"1,430",-2.85,2.95,14.76,"4,17,303",-675,"30,478",
,"1,868",-922,"2,996",-,686.45,90.30,65,680.10,685.30,780,"23,600.00","1,625",3.30,3.50,"5,395",-3.40,3.35,14.19,"8,16,393","-5,392","90,643",
,616,-114,708,-,634.05,80.20,"1,755",633.15,636.80,65,"23,650.00","1,235",3.65,3.80,"1,235",-4.55,3.75,13.57,"4,96,733","10,605","49,293",
,"2,712","-1,442","5,202",-,588.50,85.40,65,582.05,586.35,260,"23,700.00",260,4.00,4.20,"3,965",-6.40,4.20,12.93,"7,49,474","-8,651","69,265",
,"1,519",-313,"2,113",-,525.50,68.90,65,533.20,536.55,325,"23,750.00",130,4.70,4.85,"1,820",-8.45,4.85,12.34,"4,64,110","14,807","49,564",
,"12,160","-2,216","16,358",-,485.00,76.55,195,485.00,486.90,780,"23,800.00","1,430",5.75,5.85,"2,860",-11.25,5.80,11.81,"9,44,888","23,136","1,25,863",
,"1,936","-1,613","5,711",-,438.15,72.10,65,435.50,439.75,65,"23,850.00",260,6.95,7.15,130,-14.70,7.15,11.33,"5,77,558","18,621","67,141",
,"26,263","-3,896","33,404",-,388.05,69.40,65,388.05,390.25,585,"23,900.00","1,300",9.15,9.30,65,-18.60,9.30,10.95,"11,00,447","17,376","1,47,386",
,"7,663","-2,668","21,071",-,341.10,63.80,130,341.00,342.80,455,"23,950.00",520,11.80,11.90,195,-23.75,11.90,10.52,"7,56,767","6,592","68,419",
,"69,474","-15,855","2,54,199",-,294.30,55.85,65,295.10,296.00,650,"24,000.00",650,15.70,15.75,130,-29.85,15.65,10.16,"22,97,342","23,751","2,14,322",
,"19,774","-16,671","81,988",6.10,250.75,50.45,130,251.00,251.55,260,"24,050.00",65,20.55,20.70,195,-37.00,20.70,9.80,"11,04,911","-25,114","72,411",
,"30,325","-38,959","3,88,639",7.09,209.55,43.20,325,208.00,209.00,325,"24,100.00",260,27.95,28.20,"1,300",-45.45,28.20,9.55,"22,00,726","-22,546","1,22,273",
,"18,595","-28,259","3,33,910",7.24,169.20,33.60,260,168.50,169.95,65,"24,150.00",325,37.85,38.25,260,-54.50,38.05,9.29,"16,01,716","5,960","68,062",
,"76,421","-39,986","15,54,018",7.26,132.15,24.00,65,132.15,132.45,520,"24,200.00",65,51.70,51.95,910,-62.50,51.95,9.15,"35,19,326","53,678","1,27,871",
,"45,575","13,810","19,13,331",7.52,102.15,18.45,260,101.65,102.15,130,"24,250.00",520,70.65,70.85,195,-69.30,70.85,9.15,"31,71,258","40,444","52,439",
,"1,67,273","91,309","57,89,030",7.56,75.40,12.35,"2,015",75.00,75.40,"1,430","24,300.00",455,93.70,94.15,65,-75.75,93.65,9.11,"68,88,138","75,188","95,985",
,"1,16,100","83,834","49,79,130",7.59,53.60,7.75,780,53.65,54.05,715,"24,350.00",65,122.45,122.95,195,-80.30,122.40,9.25,"40,52,826","31,039","34,319",
,"1,74,995","76,040","52,57,012",7.67,37.15,4.75,780,36.95,37.25,260,"24,400.00",910,154.85,155.75,520,-84.35,154.85,9.35,"30,82,587","19,325","25,702",
,"59,543","28,251","20,76,641",7.81,25.40,2.55,780,25.15,25.45,"3,965","24,450.00",260,192.55,193.60,325,-85.65,193.10,9.71,"6,52,564","3,758","5,340",
,"1,75,539","43,368","38,24,979",7.97,17.10,1.70,"1,430",17.00,17.05,195,"24,500.00",325,234.20,234.80,325,-87.30,234.80,10.19,"9,72,150","5,828","21,007",
,"68,778","32,589","17,19,610",8.09,11.10,0.90,780,11.00,11.10,585,"24,550.00",260,278.40,279.40,325,-88.60,278.30,10.66,"1,32,010","1,677","2,288",
,"1,34,499","25,920","25,39,013",8.35,7.55,0.90,715,7.40,7.55,585,"24,600.00",260,324.95,325.80,325,-88.25,325.30,11.48,"1,50,149","2,015","4,100",
,"64,679","35,930","10,18,285",8.68,5.35,0.70,260,5.15,5.40,520,"24,650.00",260,372.60,376.20,260,-92.90,369.60,11.66,"24,323",380,621,
,"1,13,805","34,670","12,47,664",9.05,3.90,0.60,260,3.90,4.20,780,"24,700.00",520,420.30,423.45,520,-90.55,418.00,12.48,"32,165",654,"1,240",
,"57,031","29,433","7,01,900",9.65,3.30,0.75,455,3.20,3.30,910,"24,750.00",65,470.05,472.05,325,-89.15,471.45,14.34,"6,160",245,381,
,"1,13,362","50,362","9,01,872",10.19,2.75,0.55,520,2.70,2.80,325,"24,800.00",130,519.45,520.75,325,-89.80,518.95,14.90,"14,853",268,847,
,"36,166","20,018","5,14,440",10.74,2.35,0.50,"1,755",2.25,2.35,"1,690","24,850.00",325,566.25,571.30,325,-96.00,567.85,15.71,"1,557",89,149,
